time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-11-09 09:05:53.727 UTC, ,125,3167525,1288,21672, , ,5,1,9,2,0.22, , , , , , , ,5,5, , ,1,3,2,8, ,7,5, , , , , , , , , , , , , ,12169,6, ,10548, , , , , ,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478682353335,3145728, , , ,10,0, , , , , , , ,3, , , , ,10,1, , , , , , ,20480,10, , , , , , , , , , ,26708000,1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:05:53.753 UTC, ,125,3160421,1288,14568, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,29,13, , , , , , , , , , , , , ,12169,6, ,10548, , , , , ,27,27, , , , , ,2,96, , , , , , , , , , , , , , , , , , , , , , , , ,1478682353730,3145728, , , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,143360,34, , , , , , , , , , ,34078720,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:05:53.770 UTC, ,125,3167525,1288,21672, , ,5,1,14,2,0.14, , , , , , , ,5,5, , ,1,3,2,8, ,8,6, , , , , , , , , , , , , ,12169,6, ,10548, , , , , ,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478682353730,3145728, , , ,11,0, , , ,1, , , ,3, , , , ,11,1, , , , , , ,24576,12, , , , , , , , ,1,7,12259672,1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,9, , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:05:59.478 UTC, ,125,3167757,1288,21904, , ,5,1,35,5,0.14, , , , , , , ,5,5, ,2,1,3,2,8, ,41,20, , , , , , , , , , , , , ,14737,7, ,12529, , , , , ,24,24, , , , , ,2,105, , , , , , , , , , , , , , , , , , , , , , , , ,1478682359447,3145728, , , ,24,0, , , ,3, , , ,3, , , , ,24,1,2048,1, , , , ,163840,38, , , , , , , , ,1,7,19045512,1, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:05:59.481 UTC, ,125,3167757,1288,21904, , ,5, , , , , , , , , , , ,5,5, , , ,3,2,8, , , , , , , , , , , , , , , , ,14737,7, ,12529, , , , , ,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478682359447,3145728, , , ,9,0, , , , , , , ,3, , , , ,9,1, , , , , , ,6144,9, , , , , , , , , , ,19045512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:06:18.634 UTC, ,125,3160525,1288,14592,80, ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,5, ,33,14, , , , , , , , , , , , , ,14737,7, ,12529, , , , , ,24,24, , , , , ,2,105, , , , , , , , , , , , , , , , , , , , , , , , ,1478682378610,3145728, , , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,147456,36, , , , , , , , ,1,7,25193728,1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:06:18.641 UTC, ,125,3167757,1288,21904, , ,5, ,9,2,0.22, , , , , , , ,5,5, , , ,3,2,8, ,8,6, , , , , , , , , , , , , ,14737,7, ,12529, , , , , ,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478682378610,3145728, , , ,10,0, , , ,1, , , ,3, , , , ,10,1, , , , , , ,22528,11, , , , , , , , , , ,25829824,1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:06:18.661 UTC, ,125,3160525,1288,14592,80, ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,5, ,33,14, , , , , , , , , , , , , ,14737,7, ,12529, , , , , ,24,24, , , , , ,2,105, , , , , , , , , , , , , , , , , , , , , , , , ,1478682378643,3145728, , , ,24,0, , , ,3, , , ,3, , , , ,24,1,2048,1, , , , ,147456,36, , , , , , , , ,1,7,31988792,1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:06:18.666 UTC, ,125,3167757,1288,21904, , ,5, ,14,2,0.14, , , , , , , ,5,5, , , ,3,2,8, ,8,6, , , , , , , , , , , , , ,14737,7, ,12529, , , , , ,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478682378643,3145728, , , ,9,0, , , , , , , ,3, , , , ,9,1, , , , , , ,22528,11, , , , , , , , , , ,31988792,1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,9, , , , , , , , , , , , , , , , , , , , , , , 
2016-11-09 09:06:23.793 UTC, ,125,3160549,1288,14616,80, ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,33,15, , , , , , , , , , , , , ,16760,8, ,15097, , , , , ,22,22, , , , , ,3,116, , , , , , , , , , , , , , , , , , , , , , , , ,1478682383775,3145728, , , ,23,0, , , ,3, , , ,3, , , , ,23, ,2048,1, , , , ,163840,38, , , , , , , , ,1,7,38773152,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
